QUAD,SP,XCO,YCO
21,ACROPO,1.6,81.3
21,IXONIC,8.1,80.6
21,SHORL1,4.6,80.5
21,ARCHBU,5.1,82
21,CYNOMA,5,84.2
21,MEMEEX,0.6,83.5
21,ALANRI,7.9,85.1
21,DACRR1,7.9,86
21,HOPEME,8.8,82.8
21,HOPEME,8.8,84
21,SHORAC,7.2,90.7
21,IRVIMA,14.2,86.9
21,CROTAR,9.5,86.3
21,XANTGR,4.9,90.9
21,DACRR1,3.4,93
21,LITSFE,8.3,94.5
21,XYLOFE,10.2,96.8
21,PIMEGR,11.3,95.9
21,PYSOGR,13.2,91.4
21,CRY1GR,14,90
21,ARTOSC,6.1,97.6
21,EUGEGR,7,99.4
21,SINDVE,2.6,96.3
21,PAYELU,4,97.2
21,DACRRO,1.7,96.3
21,SANTLA,11.9,98.2
21,DRYPLO,17.3,97
21,GREWBL,16.4,94
21,XANTEU,18.9,96.4
21,BACCMI,16.7,86.5
21,CANTDI,19,83.5
21,EUGEGR,15.7,83.2
21,ARCHKU,17.6,81.3
21,MONOMA,19.2,89.7
21,ARCHCY,0,0
21,XANTRU,19.2,80.4
22,AAAAAA,0,0
22,APORPE,28.9,89.5
22,MEL1FU,26.2,81.3
22,PTEREC,28.4,85.4
22,KNEMSC,26,83.1
22,MANGQU,28.7,86
22,GIRONE,24.1,86.6
22,MONOMA,20.2,88.5
22,SHORBR,22.5,90.4
22,POL1HY,27.4,90.2
22,APORBR,23.7,91.8
22,MALLPE,27.3,92.2
22,MEMEAM,24.1,94.9
22,BUCHSE,26.2,96.3
22,BARRPE,25,98.3
22,POL1JE,25.9,99.6
22,MACALO,20.3,98.4
22,MESUFE,20.9,97.8
22,EUGEP3,31,95.2
22,KNEMSC,30.9,99.7
22,EUGES2,33.5,98
22,CALODI,32.4,94.5
22,APORBR,35.5,90
22,BEILM2,36.9,98
22,SHORM2,38.4,99.2
22,KNEMFU,32.4,80.6
22,XANTGR,37.2,87.2
22,BEILM2,32.4,85.9
22,ALPHMA,36.2,84.1
22,HOPEME,33.5,83.6
22,SHORP2,31.5,81.9
22,XYLOFS,35,80.4
23,GORDSI,41.1,81.3
23,MEL1AN,44.2,80.6
23,SHORM1,40.8,82.9
23,CROTLA,41.7,82.5
23,DIOSSU,43.8,83.2
23,EUGEP3,43.8,86.9
23,SHORL1,46.5,88.4
23,DIPTC1,47.1,91.9
23,MESUFE,45.5,92.2
23,EUGERI,40.3,91.9
23,KNEMMA,40.1,93.7
23,KNEMMA,42.3,95.4
23,DACRR1,40.8,95.8
23,SHORM1,43.8,96.1
23,DACRR1,45,99.4
23,CANTDI,40.9,99.7
23,PTEREC,49,97.3
23,BACCRE,49.3,95
23,MIC1CA,51.4,95.4
23,PEN1MO,53.6,99.3
23,MONOMA,52.8,99.7
23,AGLASP,54.6,97.8
23,MONOMA,53.5,99.8
23,PAYELU,56,95.4
